year,month,day,julian_date,lake,nauplii,daphnia_pulex,daphnia_lumholtzi,adult_calanoid,juvenile_calanoid,adult_cyclopoid,juvenile_cyclopoid,ostracod,bosmina,neonate_daphnia,daphnia_longiremis,daphina_ambigua
2013,6,26,13177,Poway,0.266085714,1.2596,,0.974371429,0.572371429,0.9514,0.505371429,,,,,
2013,6,26,13177,Poway,0.179942857,1.530471429,,0.959057143,0.342657143,1.387857143,0.322557143,,,,,
2013,6,26,13177,Poway,0.164628571,1.267257143,,1.095928571,0.735085714,0.886314286,0.401042857,,,,,
2013,6,26,13177,Poway,0.186642857,1.522814286,,1.033714286,0.387642857,0.709242857,0.524514286,,,,,
2013,6,26,13177,Poway,0.156971429,1.562057143,,1.434757143,0.344571429,0.662342857,0.471871429,,,,,
2013,6,26,13177,Poway,0.184728571,1.477828571,,1.182071429,0.500585714,1.3266,0.504414286,,,,,
2013,6,26,13177,Poway,0.2479,1.220357143,,0.927471429,0.595342857,0.902585714,0.465171429,,,,,
2013,6,26,13177,Poway,0.125385714,1.5879,,1.317028571,0.499628571,1.156228571,0.344571429,,,,,
2013,6,26,13177,Poway,0.273742857,1.187814286,,1.247157143,0.363714286,0.9916,0.543657143,,,,,
2013,6,26,13177,Poway,0.149314286,1.143785714,,1.973628571,0.565671429,0.722642857,0.379028571,,,,,
2013,6,26,13177,Poway,0.148357143,1.404128571,,1.809957143,0.718814286,0.851857143,0.457514286,,,,,
2013,6,26,13177,Poway,0.143571429,0.909285714,,1.6348,0.5293,1.155271429,0.513028571,,,,,
2013,6,26,13177,Poway,0.252685714,0.988728571,,1.846328571,0.464214286,1.067214286,0.331171429,,,,,
2013,6,26,13177,Poway,0.1608,1.429971429,,0.961928571,0.371371429,1.296928571,0.335,,,,,
2013,6,26,13177,Poway,0.217271429,1.553442857,,0.914071429,0.527385714,1.110285714,0.456557143,,,,,
2013,6,26,13177,Poway,0.102414286,0.952357143,,1.094014286,0.384771429,0.821228571,0.320642857,,,,,
2013,6,26,13177,Poway,0.139742857,1.250985714,,1.302671429,0.457514286,0.874828571,0.333085714,,,,,
2013,6,26,13177,Poway,0.1541,1.310328571,,0.9849,0.496757143,1.206957143,0.380942857,,,,,
2013,6,26,13177,Poway,0.153142857,1.676914286,,0.922685714,0.449857143,1.142828571,0.349357143,,,,,
2013,6,26,13177,Poway,0.123471429,1.166757143,,1.026057143,0.517814286,1.563014286,0.447942857,,,,,
2013,6,26,13177,Poway,0.148357143,1.375414286,,0.960014286,0.364671429,1.323728571,0.411571429,,,,,
2013,6,26,13177,Poway,0.1139,1.197385714,,0.726471429,0.370414286,1.028928571,0.3685,,,,,
2013,6,26,13177,Poway,0.151228571,1.330428571,,0.789642857,0.488142857,1.3668,0.346485714,,,,,
2013,6,26,13177,Poway,0.105285714,1.706585714,,0.876742857,0.483357143,1.652028571,0.456557143,,,,,
2013,6,26,13177,Poway,0.116771429,1.496971429,,0.875785714,0.418271429,1.244285714,0.362757143,,,,,
2013,6,26,13177,Murray,0.116771429,1.814742857,0.416357143,,0.4087,1.714242857,0.4824,0.1809,0.158885714,,,
2013,6,26,13177,Murray,0.196214286,1.340957143,0.871957143,,0.9112,1.075828571,0.382857143,0.233542857,0.2278,,,
2013,6,26,13177,Murray,0.188557143,1.022228571,0.744657143,,,0.856642857,0.378071429,0.169414286,0.316814286,,,
2013,6,26,13177,Murray,0.1407,1.129428571,0.603957143,,,,0.3283,0.208657143,0.159842857,,,
2013,6,26,13177,Murray,0.222057143,1.753485714,0.67,,,,0.424014286,0.156014286,0.116771429,,,
2013,6,26,13177,Murray,0.123471429,0.989685714,0.606828571,,,,0.357014286,0.197171429,0.229714286,,,
2013,6,26,13177,Murray,0.1675,1.2261,0.803042857,,,,0.4489,0.182814286,0.122514286,,,
2013,6,26,13177,Murray,0.173242857,1.315114286,0.503457143,,,,0.356057143,0.185685714,0.2345,,,
2013,6,26,13177,Murray,0.203871429,1.314157143,1.012657143,,,,0.325428571,0.1943,0.253642857,,,
2013,6,26,13177,Murray,0.175157143,,0.332128571,,,,0.2948,0.202914286,0.360842857,,,
2013,6,26,13177,Murray,0.106242857,,0.493885714,,,,0.418271429,0.217271429,0.282357143,,,
2013,6,26,13177,Murray,0.156971429,,0.469,,,,0.286185714,0.169414286,0.220142857,,,
2013,6,26,13177,Murray,0.228757143,,0.737957143,,,,0.417314286,0.199085714,0.2278,,,
2013,6,26,13177,Murray,0.156014286,,0.555142857,,,,0.322557143,0.255557143,0.125385714,,,
2013,6,26,13177,Murray,0.097628571,,0.476657143,,,,0.465171429,0.210571429,0.151228571,,,
2013,6,26,13177,Murray,0.122514286,,0.695842857,,,,0.353185714,0.182814286,0.134957143,,,
2013,6,26,13177,Murray,0.1407,,0.4757,,,,0.389557143,0.170371429,0.237371429,,,
2013,6,26,13177,Murray,0.153142857,,0.968628571,,,,0.470914286,0.200042857,0.156971429,,,
2013,6,26,13177,Murray,0.129214286,,0.478571429,,,,0.3953,0.208657143,0.135914286,,,
2013,6,26,13177,Murray,0.117728571,,0.619271429,,,,0.350314286,0.218228571,0.256514286,,,
2013,6,26,13177,Murray,0.105285714,,0.6365,,,,0.4087,0.223014286,0.144528571,,,
2013,6,26,13177,Murray,0.130171429,,0.437414286,,,,0.4355,0.244071429,0.1474,,,
2013,6,26,13177,Murray,0.097628571,,0.516857143,,,,0.349357143,0.156971429,0.178028571,,,
2013,6,26,13177,Murray,0.142614286,,0.581942857,,,,0.4355,0.481442857,0.1675,,,
2013,6,26,13177,Murray,0.106242857,,0.4824,,,,0.373285714,0.1876,0.231628571,,,
2013,6,26,13177,Miramar,0.228757143,1.504628571,,1.853985714,,1.2596,0.537914286,,,,,
2013,6,26,13177,Miramar,0.271828571,1.586942857,,1.8224,,1.1926,0.5494,,,,,
2013,6,26,13177,Miramar,0.212485714,1.3199,,1.719985714,,1.376371429,0.441242857,,,,,
2013,6,26,13177,Miramar,0.177071429,1.336171429,,1.532385714,,1.109328571,0.880571429,,,,,
2013,6,26,13177,Miramar,0.1407,1.235671429,,1.808042857,,1.1323,0.505371429,,,,,
2013,6,26,13177,Miramar,0.202914286,1.275871429,,1.584071429,,1.407957143,0.5092,,,,,
2013,6,26,13177,Miramar,0.197171429,1.8425,,1.758271429,,0.950442857,0.460385714,,,,,
2013,6,26,13177,Miramar,0.1474,0.989685714,,1.526642857,,0.798257143,0.508242857,,,,,
2013,6,26,13177,Miramar,0.295757143,1.559185714,,1.898014286,,1.042328571,0.463257143,,,,,
2013,6,26,13177,Miramar,0.126342857,1.170585714,,1.853985714,,0.781028571,0.607785714,,,,,
2013,6,26,13177,Miramar,0.268957143,1.276828571,,1.625228571,,0.8442,0.403914286,,,,,
2013,6,26,13177,Miramar,0.153142857,1.846328571,,1.610871429,,0.8442,0.472828571,,,,,
2013,6,26,13177,Miramar,0.184728571,1.932471429,,1.880785714,,1.314157143,0.808785714,,,,,
2013,6,26,13177,Miramar,0.130171429,1.258642857,,1.477828571,,1.395514286,0.711157143,,,,,
2013,6,26,13177,Miramar,0.162714286,0.912157143,,1.656814286,,0.693928571,0.477614286,,,,,
2013,6,26,13177,Miramar,0.236414286,1.593642857,,1.705628571,,1.196428571,0.973414286,,,,,
2013,6,26,13177,Miramar,0.171328571,1.076785714,,1.9095,,1.287357143,0.506328571,,,,,
2013,6,26,13177,Miramar,0.276614286,0.665214286,,1.365842857,,0.762842857,0.513028571,,,,,
2013,6,26,13177,Miramar,0.152185714,1.948742857,,1.771671429,,0.880571429,0.478571429,,,,,
2013,6,26,13177,Miramar,0.195257143,1.1256,,1.650114286,,1.281614286,0.443157143,,,,,
2013,6,26,13177,Miramar,0.173242857,0.949485714,,1.644371429,,1.070085714,0.479528571,,,,,
2013,6,26,13177,Miramar,0.260342857,0.962885714,,1.137085714,,1.282571429,0.406785714,,,,,
2013,6,26,13177,Miramar,0.222057143,0.7839,,1.34,,0.995428571,0.390514286,,,,,
2013,6,26,13177,Miramar,0.134,1.7621,,1.730514286,,0.789642857,0.446985714,,,,,
2013,6,26,13177,Miramar,0.145485714,1.438585714,,1.790814286,,1.6817,0.405828571,,,,,
2013,7,3,13184,Poway,0.177071429,0.715942857,,0.873871429,0.517814286,0.8107,0.3283,,,0.397214286,,
2013,7,3,13184,Poway,0.260342857,1.653942857,,0.9246,0.691057143,0.537914286,0.250771429,,,0.555142857,,
2013,7,3,13184,Poway,0.117728571,0.669042857,,1.017442857,0.527385714,0.599171429,0.400085714,,,0.4489,,
2013,7,3,13184,Poway,0.155057143,1.544828571,,0.7772,0.480485714,0.697757143,0.290014286,,,,,
2013,7,3,13184,Poway,0.179942857,1.3601,,1.107414286,0.5695,0.473785714,0.370414286,,,,,
2013,7,3,13184,Poway,0.110071429,1.653942857,,1.0787,0.641285714,0.418271429,0.469,,,,,
2013,7,3,13184,Poway,0.134,1.600342857,,0.762842857,0.492928571,0.543657143,0.412528571,,,,,
2013,7,3,13184,Poway,0.193342857,1.403171429,,0.987771429,0.566628571,0.869085714,0.507285714,,,,,
2013,7,3,13184,Poway,0.146442857,1.578328571,,0.981071429,0.659471429,0.6968,0.292885714,,,,,
2013,7,3,13184,Poway,0.151228571,1.717114286,,0.901628571,0.5963,0.665214286,0.353185714,,,,,
2013,7,3,13184,Poway,0.201,0.688185714,,0.909285714,0.461342857,0.540785714,0.279485714,,,,,
2013,7,3,13184,Poway,0.264171429,1.927685714,,1.139957143,0.7303,0.535042857,0.456557143,,,,,
2013,7,3,13184,Poway,0.182814286,1.454857143,,0.898757143,0.651814286,1.257685714,0.429757143,,,,,
2013,7,3,13184,Poway,0.109114286,1.384985714,,0.866214286,0.5628,0.660428571,0.426885714,,,,,
2013,7,3,13184,Poway,0.143571429,1.838671429,,1.072,0.470914286,0.545571429,0.258428571,,,,,
2013,7,3,13184,Poway,0.139742857,1.563971429,,1.072957143,0.551314286,1.296928571,0.339785714,,,,,
2013,7,3,13184,Poway,0.123471429,1.583114286,,1.069128571,0.6365,0.669042857,0.3886,,,,,
2013,7,3,13184,Poway,0.200042857,1.637671429,,1.042328571,0.498671429,0.662342857,0.5025,,,,,
2013,7,3,13184,Poway,0.112942857,1.895142857,,0.968628571,0.633628571,1.300757143,0.323514286,,,,,
2013,7,3,13184,Poway,0.165585714,1.693185714,,1.0519,0.436457143,0.653728571,0.323514286,,,,,
2013,7,3,13184,Poway,0.1005,1.563971429,,0.968628571,0.488142857,1.170585714,0.327342857,,,,,
2013,7,3,13184,Poway,0.213442857,1.407957143,,1.048071429,0.4556,0.487185714,0.289057143,,,,,
